num_cores,coverage_amount_reached,duration_seconds,share_coverage_results,share_inputs_database
1400, 8.765714285714283, 1, false, true
1400, 48.0032142857143, 1, true, false
1400, 39.391071428571415, 1, true, true
1400, 7.269642857142857, 1, false, false
1420, 39.295357142857156, 1, true, true
1420, 8.714642857142854, 1, false, true
1420, 7.286071428571427, 1, false, false
1420, 48.42428571428568, 1, true, false
1440, 39.6257142857143, 1, true, true
1440, 48.65499999999998, 1, true, false
1440, 8.678214285714283, 1, false, true
1440, 7.14928571428572, 1, false, false
1460, 39.70357142857145, 1, true, true
1460, 7.376071428571435, 1, false, false
1460, 8.752500000000001, 1, false, true
1460, 48.807142857142885, 1, true, false
1480, 8.82785714285714, 1, false, true
1480, 7.235714285714272, 1, false, false
1480, 39.97035714285719, 1, true, true
1480, 48.78714285714284, 1, true, false
1500, 39.897857142857134, 1, true, true
1500, 8.918928571428578, 1, false, true
1500, 48.936071428571424, 1, true, false
1500, 7.3125000000000036, 1, false, false
1520, 7.104642857142848, 1, false, false
1520, 40.29928571428568, 1, true, true
1520, 49.11535714285712, 1, true, false
1520, 8.758214285714288, 1, false, true
1540, 8.776428571428566, 1, false, true
