fuzz_cases,coverage_reached,mutation_aggressiveness
86928, 86.42857142857143, 10
87432, 86.78571428571429, 10
87661, 86.96428571428572, 10
90406, 87.14285714285714, 10
92046, 87.32142857142857, 10
93926, 87.5, 10
100217, 87.67857142857143, 10
106456, 87.85714285714286, 10
106524, 88.03571428571428, 10
117288, 88.21428571428571, 10
118481, 88.39285714285714, 10
121182, 88.57142857142857, 10
154296, 88.75, 10
161096, 88.92857142857142, 10
167469, 89.46428571428572, 10
170625, 89.64285714285715, 10
173327, 89.82142857142857, 10
173783, 90, 10
174134, 90.17857142857143, 10
188669, 90.35714285714286, 10
190710, 90.53571428571429, 10
211494, 90.71428571428571, 10
212580, 90.89285714285714, 10
215338, 91.07142857142857, 10
216314, 91.25, 10
218210, 91.42857142857143, 10
239149, 91.60714285714285, 10
247848, 91.78571428571428, 10
250065, 91.96428571428571, 10
252298, 92.14285714285714, 10
285492, 92.32142857142858, 10
285780, 92.5, 10
287468, 92.67857142857143, 10
288593, 92.85714285714286, 10
292003, 93.03571428571429, 10
293100, 93.21428571428572, 10
321365, 93.39285714285714, 10
353673, 93.57142857142857, 10
419923, 93.75, 10
472950, 93.92857142857143, 10
500116, 94.10714285714286, 10
502262, 94.28571428571428, 10
568169, 94.46428571428571, 10
572238, 94.82142857142857, 10
572286, 95, 10
573429, 95.17857142857142, 10
574971, 95.35714285714286, 10
593375, 95.53571428571429, 10
593777, 95.71428571428572, 10
597307, 95.89285714285715, 10
600860, 96.07142857142857, 10
602095, 96.42857142857143, 10
609078, 96.60714285714286, 10
612068, 96.78571428571429, 10
615727, 96.96428571428571, 10
620266, 97.14285714285714, 10
785901, 97.32142857142857, 10
842539, 97.85714285714285, 10
843072, 98.03571428571428, 10
843934, 98.21428571428571, 10
844740, 98.39285714285714, 10
915243, 98.57142857142858, 10
920489, 98.75, 10
945928, 98.92857142857143, 10
985547, 99.10714285714286, 10
1026184, 99.28571428571429, 10
1076871, 99.46428571428572, 10
1273744, 99.64285714285714, 10
2216114, 99.82142857142857, 10
3294813, 100, 10
1, 11.071428571428571, 25
2, 13.928571428571429, 25
3, 14.107142857142858, 25
4, 15, 25
6, 15.714285714285714, 25
8, 15.892857142857142, 25
9, 16.25, 25
10, 17.5, 25
11, 18.571428571428573, 25
14, 19.82142857142857, 25
15, 20.357142857142858, 25
16, 20.892857142857142, 25
17, 21.071428571428573, 25
18, 21.428571428571427, 25
19, 21.785714285714285, 25
20, 22.142857142857142, 25
22, 22.321428571428573, 25
23, 22.5, 25
24, 22.857142857142858, 25
25, 23.392857142857142, 25
26, 23.57142857142857, 25
27, 23.75, 25
28, 23.92857142857143, 25
29, 24.285714285714285, 25
30, 25, 25
31, 25.71428571428571, 25
33, 26.42857142857143, 25
41, 26.607142857142858, 25
43, 26.96428571428571, 25
45, 29.82142857142857, 25
47, 30.357142857142854, 25
48, 30.53571428571429, 25
52, 30.892857142857146, 25
53, 31.071428571428573, 25
54, 31.428571428571427, 25
57, 31.96428571428571, 25
58, 32.32142857142858, 25
60, 32.5, 25
63, 32.857142857142854, 25
67, 33.214285714285715, 25
68, 33.39285714285714, 25
69, 33.57142857142857, 25
70, 34.464285714285715, 25
71, 34.82142857142857, 25
77, 35.17857142857143, 25
78, 35.714285714285715, 25
82, 35.892857142857146, 25
91, 36.25, 25
92, 36.42857142857142, 25
94, 36.964285714285715, 25
98, 37.142857142857146, 25
101, 37.32142857142857, 25
104, 37.5, 25
113, 38.035714285714285, 25
114, 38.392857142857146, 25
124, 39.285714285714285, 25
126, 39.64285714285714, 25
133, 39.82142857142857, 25
136, 40.35714285714286, 25
140, 40.535714285714285, 25
141, 40.714285714285715, 25
143, 41.25, 25
149, 41.42857142857143, 25
151, 41.785714285714285, 25
172, 42.142857142857146, 25
177, 42.5, 25
184, 43.214285714285715, 25
192, 43.392857142857146, 25
193, 43.57142857142857, 25
197, 43.75, 25
201, 43.92857142857143, 25
203, 44.107142857142854, 25
209, 44.642857142857146, 25
213, 44.82142857142858, 25
220, 45.17857142857143, 25
222, 45.535714285714285, 25
248, 45.714285714285715, 25
255, 45.89285714285714, 25
258, 46.25, 25
263, 46.60714285714286, 25
303, 46.785714285714285, 25
